filepath,file_size,num_sections,export_count,avg_entropy
C:\Windows\System32\BWContextHandler.dll,90112,7,4,2.451057703
C:\Windows\System32\c4d66f00-b6f0-4439-ac9b-c5ea13fe54d7_HyperV-ComputeCore.dll,26016,4,0,0.740895514
C:\Windows\System32\cabapi.dll,139264,7,14,2.492696926
C:\Windows\System32\cabinet.dll,175024,8,26,2.2077862
C:\Windows\System32\cabview.dll,221184,8,3,2.704320305
C:\Windows\System32\CallButtons.dll,118784,7,3,2.560253379
C:\Windows\System32\CallButtons.ProxyStub.dll,49152,7,4,1.604459241
C:\Windows\System32\CallHistoryClient.dll,184320,8,11,2.68364314
C:\Windows\System32\CameraCaptureUI.dll,151552,8,3,2.530185762
C:\Windows\System32\camext.dll,51064,6,10,1.685963965
C:\Windows\System32\CapabilityAccessHandlers.dll,131072,8,2,2.21286921
C:\Windows\System32\CapabilityAccessManager.dll,1392640,8,4,3.363459457
C:\Windows\System32\CapabilityAccessManagerClient.dll,397312,8,3,2.959038064
C:\Windows\System32\capauthz.dll,402280,9,9,2.867845058
C:\Windows\System32\capiprovider.dll,118784,7,4,2.641759543
C:\Windows\System32\capisp.dll,49152,7,5,1.733205607
C:\Windows\System32\CaptureService.dll,241664,7,1,3.232256738
C:\Windows\System32\CastingShellExt.dll,122880,8,7,2.183907105
C:\Windows\System32\CastLaunch.dll,126976,8,2,2.361493185
C:\Windows\System32\catsrv.dll,507904,8,13,2.703471667
C:\Windows\System32\catsrvps.dll,69632,7,5,2.128471725
C:\Windows\System32\catsrvut.dll,516096,8,38,3.258129703
C:\Windows\System32\CBDHSvc.dll,933888,8,2,3.272564931
C:\Windows\System32\cca.dll,110592,7,4,2.660185727
C:\Windows\System32\cdd.dll,335872,12,1,3.12171465
C:\Windows\System32\cdosys.dll,1032192,7,4,4.015186777
C:\Windows\System32\cdp.dll,5849088,8,135,3.997411487
C:\Windows\System32\cdprt.dll,2813952,8,3,3.518094989
C:\Windows\System32\cdpsvc.dll,864256,8,2,3.392987536
C:\Windows\System32\cdpusersvc.dll,724992,8,2,3.454914171
C:\Windows\System32\cellulardatacapabilityhandler.dll,90112,8,4,2.057044145
C:\Windows\System32\cemapi.dll,282624,8,34,3.001136256
C:\Windows\System32\certca.dll,864256,8,179,3.337150027
C:\Windows\System32\certcli.dll,503808,8,172,3.647391592
C:\Windows\System32\certCredProvider.dll,73728,8,2,1.877105806
C:\Windows\System32\certenc.dll,98304,8,4,2.185291912
C:\Windows\System32\CertEnroll.dll,2908160,8,44,4.191604135
C:\Windows\System32\CertEnrollUI.dll,405504,7,1,4.213013625
C:\Windows\System32\certmgr.dll,2289664,7,5,4.250674942
C:\Windows\System32\CertPKICmdlet.dll,98304,8,14,1.9870516
C:\Windows\System32\CertPolEng.dll,204800,8,14,2.699263894
C:\Windows\System32\certprop.dll,233472,8,3,2.614385539
C:\Windows\System32\cewmdm.dll,286720,7,4,3.963422595
C:\Windows\System32\cfgbkend.dll,110592,8,8,2.273527171
C:\Windows\System32\cfgmgr32.dll,398168,8,283,2.589222323
C:\Windows\System32\CfgSPCellular.dll,163840,8,2,2.480485785
C:\Windows\System32\CfgSPPolicy.dll,155648,8,2,2.427627391
C:\Windows\System32\cflapi.dll,290816,8,21,2.564344885
C:\Windows\System32\cfmifs.dll,66976,7,4,2.057500566
C:\Windows\System32\cfmifsproxy.dll,36864,7,5,1.436128691
C:\Windows\System32\Chakra.dll,7938048,9,160,3.115981486
C:\Windows\System32\Chakradiag.dll,166912,9,6,3.288137976
C:\Windows\System32\Chakrathunk.dll,163840,7,8,2.924018862
C:\Windows\System32\chartv.dll,147456,8,8,2.920422354
C:\Windows\System32\ChatApis.dll,720896,8,3,3.090899445
C:\Windows\System32\ChsStrokeDS.dll,475136,8,2,3.226820185
C:\Windows\System32\ChtBopomofoDS.dll,475136,8,2,3.348594936
C:\Windows\System32\ChtCangjieDS.dll,479232,8,2,3.37343001
C:\Windows\System32\ChtHkStrokeDS.dll,475136,8,2,3.232453183
C:\Windows\System32\ChtQuickDS.dll,471040,8,2,3.227434298
C:\Windows\System32\ChxAPDS.dll,552960,8,2,3.44504438
C:\Windows\System32\ChxDecoder.dll,368640,8,2,3.177755837
C:\Windows\System32\ChxHAPDS.dll,524288,8,2,3.306582156
C:\Windows\System32\chxinputrouter.dll,393216,8,2,2.61668224
C:\Windows\System32\chxranker.dll,139264,8,2,2.49575183
C:\Windows\System32\CHxReadingStringIME.dll,36864,7,2,1.415409093
C:\Windows\System32\ci.dll,1084072,15,13,3.447534457
C:\Windows\System32\cic.dll,225280,8,4,3.405974933
C:\Windows\System32\cimfs.dll,378296,7,21,2.736249937
C:\Windows\System32\CIRCoInst.dll,36864,7,1,1.3274781
C:\Windows\System32\clbcatq.dll,687376,8,32,3.478534511
C:\Windows\System32\cldapi.dll,184320,8,51,2.165343988
C:\Windows\System32\CleanPCCSP.dll,90112,7,2,2.390457559
C:\Windows\System32\clfsw32.dll,110592,7,63,2.35031897
C:\Windows\System32\cliconfg.dll,118784,7,3,1.991189789
C:\Windows\System32\ClipboardServer.dll,225280,8,3,2.772139815
C:\Windows\System32\Clipc.dll,241136,8,24,2.387788056
C:\Windows\System32\ClipSVC.dll,1001408,8,2,3.49712793
C:\Windows\System32\clipwinrt.dll,1226168,9,3,2.781630674
C:\Windows\System32\cloudAP.dll,688128,8,2,2.751953383
C:\Windows\System32\CloudDesktopCSP.dll,241664,8,2,2.494917197
C:\Windows\System32\CloudDomainJoinAUG.dll,155648,8,3,2.262670923
C:\Windows\System32\CloudDomainJoinDataModelServer.dll,442368,8,3,3.056883175
C:\Windows\System32\CloudExperienceHost.dll,652728,8,3,3.306659285
C:\Windows\System32\CloudExperienceHostBroker.dll,349616,8,4,2.977020436
C:\Windows\System32\CloudExperienceHostCommon.dll,1349040,8,3,4.282239549
C:\Windows\System32\CloudExperienceHostRedirection.dll,208896,6,2,3.416232397
C:\Windows\System32\CloudExperienceHostUser.dll,275888,8,3,2.870742608
C:\Windows\System32\CloudIdWxhExtension.dll,321536,7,2,3.714032883
C:\Windows\System32\CloudRecoveryDownloadTool.dll,3127328,7,4,4.526000663
C:\Windows\System32\CloudRestoreLauncher.dll,1675264,8,5,3.919761306
C:\Windows\System32\clrhost.dll,40960,7,3,1.485721441
C:\Windows\System32\clusapi.dll,1290240,8,396,3.69512635
C:\Windows\System32\cmcfg32.dll,65536,7,4,1.919357709
C:\Windows\System32\cmdext.dll,69632,8,14,1.757203373
C:\Windows\System32\cmdial32.dll,569344,7,11,2.95436284
C:\Windows\System32\cmgrcspps.dll,81920,7,2,2.113664057
C:\Windows\System32\cmifw.dll,259528,8,4,2.547361877
C:\Windows\System32\cmintegrator.dll,73728,8,3,1.707988498
C:\Windows\System32\cmlua.dll,65536,7,10,2.109463057
C:\Windows\System32\cmpbk32.dll,53248,7,23,1.820442374
C:\Windows\System32\cmstplua.dll,40960,7,5,1.823897865
C:\Windows\System32\cmutil.dll,81920,7,151,2.104220407
C:\Windows\System32\cngcredui.dll,135168,8,2,1.543189987
C:\Windows\System32\cngprovider.dll,118784,7,4,2.692330459
C:\Windows\System32\cnvfat.dll,65536,7,2,1.819691972
C:\Windows\System32\CodeIntegrityAggregator.dll,217088,8,5,2.475605447
C:\Windows\System32\cofiredm.dll,57344,7,3,1.977108717
C:\Windows\System32\colbact.dll,110592,8,7,1.993745061
C:\Windows\System32\COLORCNV.DLL,249416,8,11,2.28018703
C:\Windows\System32\colorui.dll,192512,7,6,2.782846774
C:\Windows\System32\combase.dll,3703736,9,602,4.08853591
C:\Windows\System32\comcat.dll,32768,7,4,1.291469013
C:\Windows\System32\comctl32.dll,738744,7,181,3.336367689
C:\Windows\System32\comdlg32.dll,978944,8,30,3.423503701
C:\Windows\System32\coml2.dll,513832,8,33,2.642886091
C:\Windows\System32\CompatAggregator.dll,98304,6,5,2.711647342
C:\Windows\System32\ComposableShellProxyStub.dll,286720,8,3,1.945891928
C:\Windows\System32\ComposerFramework.dll,286720,8,3,2.90349525
C:\Windows\System32\CompPkgSup.dll,220504,8,14,2.284816753
C:\Windows\System32\compstui.dll,151552,8,4,2.279060214
C:\Windows\System32\computecore.dll,992688,8,67,3.506441879
C:\Windows\System32\computelibeventlog.dll,25904,2,0,1.549936346
C:\Windows\System32\computenetwork.dll,131072,7,56,2.418139157
C:\Windows\System32\computestorage.dll,492976,10,14,3.007458655
C:\Windows\System32\comrepl.dll,143360,8,4,2.273865898
C:\Windows\System32\comres.dll,12288,2,0,0.878110075
C:\Windows\System32\comsnap.dll,299008,7,5,4.096166023
C:\Windows\System32\comsvcs.dll,1695744,8,22,3.80564525
C:\Windows\System32\comuid.dll,802816,8,5,3.332926235
C:\Windows\System32\concrt140.dll,322640,6,291,4.975555371
C:\Windows\System32\configmanager2.dll,749568,8,4,3.496374983
C:\Windows\System32\ConfigureExpandedStorage.dll,114688,7,2,2.607929587
C:\Windows\System32\connect.dll,331776,8,15,3.525450805
C:\Windows\System32\ConnectedAccountState.dll,73728,8,3,2.024997104
C:\Windows\System32\ConnectionAttributionApi.dll,77824,7,2,2.06711694
C:\Windows\System32\ConsentExperienceCommon.dll,229376,8,2,2.629066767
C:\Windows\System32\ConsentUX.dll,148936,8,3,2.435574816
C:\Windows\System32\ConsentUxClient.dll,282624,8,4,2.98579483
C:\Windows\System32\console.dll,200704,8,3,2.710420915
C:\Windows\System32\ConsoleLogon.dll,380928,8,3,2.833792878
C:\Windows\System32\ConstraintIndex.Search.dll,1384448,8,16,3.812583737
C:\Windows\System32\ContactActivation.dll,131072,7,7,2.291095972
C:\Windows\System32\ContactApis.dll,1056768,8,3,2.974112272
C:\Windows\System32\ContactHarvesterDS.dll,262144,8,2,2.856517631
C:\Windows\System32\container.dll,331776,8,39,2.898214514
C:\Windows\System32\containerdevicemanagement.dll,271800,8,2,2.972541942
C:\Windows\System32\ContentDeliveryManager.Utilities.dll,1668520,8,3,3.311835422
C:\Windows\System32\ControlCenter.dll,3820032,7,3,4.380992844
C:\Windows\System32\ControlLib.dll,347920,7,121,4.058986338
C:\Windows\System32\coreaudiopolicymanagerext.dll,40960,7,35,1.318591189
C:\Windows\System32\coredpus.dll,274432,8,14,2.755211385
C:\Windows\System32\coreglobconfig.dll,228752,8,13,2.645023641
C:\Windows\System32\CoreMas.dll,270336,6,12,3.082032925
C:\Windows\System32\CoreMessaging.dll,1220432,8,31,3.676483922
C:\Windows\System32\CoreMmRes.dll,28672,2,0,2.881558899
C:\Windows\System32\CorePrivacySettingsStore.dll,203952,8,26,2.562059855
C:\Windows\System32\CoreShell.dll,2007040,8,3,3.43993911
C:\Windows\System32\CoreShellAPI.dll,561152,8,3,3.344821017
C:\Windows\System32\CoreShellExtFramework.dll,192512,8,3,2.37571723
C:\Windows\System32\CoreUIComponents.dll,3031968,7,24,4.188096589
C:\Windows\System32\correngine.dll,110592,8,4,2.368924412
C:\Windows\System32\CourtesyEngine.dll,311296,8,3,2.513418136
C:\Windows\System32\CPFilters.dll,512000,7,5,3.898933005
C:\Windows\System32\CredDialogBroker.dll,163840,8,3,2.490021533
C:\Windows\System32\CredentialEnrollmentManagerForUser.dll,113024,8,3,2.099706987
C:\Windows\System32\CredProv2faHelper.dll,139264,8,2,2.207740603
C:\Windows\System32\CredProvCommonCore.dll,102400,8,35,2.139013608
C:\Windows\System32\CredProvDataModel.dll,700416,8,3,2.983631537
C:\Windows\System32\CredProvHelper.dll,167936,8,2,2.204819666
C:\Windows\System32\credprovhost.dll,483328,8,2,3.16991443
C:\Windows\System32\credprovs.dll,434176,8,3,2.751624182
C:\Windows\System32\credprovslegacy.dll,221184,8,2,2.692245919
C:\Windows\System32\credssp.dll,53248,8,26,1.42792414
C:\Windows\System32\credui.dll,110592,8,26,2.162249374
C:\Windows\System32\crypt32.dll,1534440,8,307,3.31115032
C:\Windows\System32\cryptbase.dll,59336,7,11,1.550782605
C:\Windows\System32\cryptcatsvc.dll,225280,8,4,2.446931319
C:\Windows\System32\cryptdlg.dll,53248,7,21,2.153765295
C:\Windows\System32\cryptdll.dll,104800,8,20,2.205506677
C:\Windows\System32\cryptext.dll,98304,8,35,2.431937215
C:\Windows\System32\cryptnet.dll,253560,8,23,2.396459702
C:\Windows\System32\cryptngc.dll,503808,8,59,3.107468792
C:\Windows\System32\cryptoss.dll,2088168,7,2,4.069672902
C:\Windows\System32\CryptoWinRT.dll,380928,8,3,2.834700242
C:\Windows\System32\cryptsp.dll,125488,8,65,2.188120737
C:\Windows\System32\cryptsvc.dll,155648,8,2,2.153608955
C:\Windows\System32\crypttpmeksvc.dll,98304,8,8,1.99017573
C:\Windows\System32\cryptui.dll,385024,9,56,2.54587747
C:\Windows\System32\cryptuiwizard.dll,159744,8,8,2.213604741
C:\Windows\System32\cryptxml.dll,170888,8,19,2.519468761
C:\Windows\System32\cscapi.dll,77824,8,7,1.905517811
